iter	Passed	Remaining
0	742	370567
1	1357	338005
2	1972	326832
3	2578	319782
4	3270	323782
5	3887	320046
6	4582	322713
7	5129	315479
8	5670	309345
9	6236	305574
10	6872	305514
11	7614	309669
12	8257	309328
13	8845	307078
14	9385	303471
15	10067	304526
16	10668	303120
17	11333	303496
18	11864	300361
19	12359	296626
20	13053	297732
21	13715	297992
22	14432	299325
23	15039	298281
24	15620	296783
25	16224	295777
26	16854	295268
27	17431	293839
28	18149	294779
29	18798	294507
30	19421	293827
31	20369	297900
32	21273	301048
33	22085	302699
34	22843	303488
35	23556	303618
36	24208	302932
37	24991	303843
38	25677	303526
39	26304	302502
40	27040	302722
41	27905	304304
42	28492	302816
43	29284	303491
44	30090	304248
45	30828	304261
46	31501	303621
47	32462	305685
48	33024	303960
49	33852	304668
50	34492	303673
51	35420	305163
52	36060	304131
53	37366	308618
54	38156	308719
55	38782	307492
56	39537	307279
57	40128	305807
58	40867	305469
59	41944	307592
60	42845	308347
61	43703	308745
62	44698	310054
63	45714	311428
64	46449	310857
65	47249	310703
66	47983	310100
67	48599	308750
68	49636	310050
69	50599	310825
70	51601	311787
71	52661	313040
72	53659	313869
73	54538	313966
74	55373	313782
75	56505	315241
76	57368	315151
77	58321	315536
78	59205	315515
79	59925	314611
80	60762	314314
81	62212	317133
82	63114	317095
83	64012	317013
84	65133	318006
85	66148	318437
86	67281	319392
87	68469	320563
88	69415	320559
89	70401	320715
90	71268	320315
91	72329	320765
92	73262	320621
93	74371	321222
4	63298	269851
95	64487	271386
96	65468	271998
97	66299	271962
98	67075	271689
99	67879	271517
100	68809	271832
101	69897	272737
102	70971	273548
103	71773	273292
104	72655	273324
105	73615	273628
106	74624	274088
107	75547	274209
108	76403	274072
109	77328	274163
110	78397	274744
111	79241	274514
112	80301	275016
113	81451	275793
114	82649	276696
115	83723	277153
116	84942	278058
117	85712	277476
118	86517	277001
119	87244	276273
120	88179	276197
121	89345	276825
122	90323	276845
123	91043	276067
124	91759	275278
23
125	79837	236978
126	80521	236491
127	81164	235884
128	81749	235110
129	82484	234762
130	83072	233997
131	83956	234059
132	84740	233831
133	85630	233885
134	86437	233702
135	87271	233580
136	88094	233417
137	88584	232372
138	89319	231974
139	90082	231640
140	90891	231418
141	91709	231210
142	92506	230943
143	93216	230451
144	94099	230382
145	94676	229557
146	95623	229627
147	96571	229682
148	97386	229414
149	98221	229184
150	99146	229153
151	100320	229680
152	101194	229505
153	101957	229073
154	102656	228493
155	103758	228801
156	104951	229289
157	106013	229472
158	106930	229329
159	107726	228918
160	108790	229069
161	109659	228795
162	110744	228962
163	111492	228422
164	112144	227687
165	113334	228034
166	114547	228409
167	115349	227953
168	116505	228185
169	117600	228283
170	118793	228555
171	119692	228251
172	120742	228223
173	121475	227591
174	122435	227380
175	123402	227172
176	124231	226705
177	125238	226555
178	126045	226036
179	129322	229907
180	130462	229931
181	131322	229452
2	130113	225388
183	130901	224808
184	131465	223846
185	132416	223542
186	133304	223125
187	134362	222984
188	135352	222723
189	136454	222636
